Queries,Src,Event time,Event Type,,,Subtype,Topic,,,,,,,
eclipse march 28 2006,AOL_expl,20060328,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,1: News,,,,,,,
eddie guerrero,AOL_impl,20060401,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,http://en.wikipedia.org/wiki/Eddie_Guerrero,,,,,,
ellen degeneres,AOL_impl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
elliott yamin,MSN_impl,20060501-20060517,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,5: Celebrity,http://en.wikipedia.org/wiki/Elliott_Yamin,,,,,,
ellis island,AOL_impl,20060419,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,http://www.ellisisland.org/Eiinfo/press_2006Awards.asp,,,,,Non-recurrent,
elton john,AOL_impl,20060528-20060902,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,Non-recurrent,,,,,,
emmy rossum,AOL_impl,20060512,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,,,,,,,
encarta,MSN_impl,20060526,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,1: News,,,,,,,
essence,MSN_impl,20060701-20060703,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
essence fest 2006,AOL_expl,20060701-20060703,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
essence festival,MSN_impl,20060701-20060703,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
essence festival 2006,MSN_expl,20060701-20060703,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
eurovision 2006,MSN_expl,20060518-20060520,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
eva mendez,AOL_impl,20060419,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,5: Celebrity,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=11&cad=rja&ved=0CDMQFjAAOAo&url=http%3A%2F%2Fwww.spokeo.com%2FEva%2BMendes%2B1%2FApr%2B19%2B2006%2BOther%2BPhotos&ei=I2XtUPH8KIfJswad8ICQBA&usg=AFQjCNE-U-OZ_bacBEeW7ff-Y_F76eqiIw&sig2=hE_05NSoYOm3R9Ioh9-TbQ&bvm=bv.1357316858,d.Yms",,,,,,
evanescence,AOL_impl,20060925,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,future event,,,,,,
everwood finale 2006,AOL_expl,20060605,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
faith hill interviews 2006,AOL_expl,20060421,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,3: Entertainment,http://en.wikipedia.org/wiki/Family_Guy_%28season_4%29,,,,,,
family guy,AOL_impl,20060103-20060521,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
family guy clips,AOL_impl,20060103-20060521,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
family values tour 2006,MSN_expl,20060729-20060922,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,7: Holiday,,,,,,,
fan fair 2006,AOL_expl,20060608-20060611,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
fathers day,AOL_impl,20060618,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
fathers day,MSN_impl,20060618,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
father's day,AOL_impl,20060618,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
father's day,MSN_impl,20060618,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
fathers day 2006,MSN_expl,20060618,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
father's day 2006,AOL_expl,20060618,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,3: Future event (after 31/05/2006),,,,,,
father's day 2006,MSN_expl,20060618,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
father's day sunday school crafts,AOL_expl,20060618,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
fifa 2006,MSN_expl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,3: Anticipated,6: Sports,,,,,,,
fifa 2006 world cup,MSN_expl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,3: Anticipated,6: Sports,,,,,,,
fifa 2006 world cup football,MSN_expl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,3: Anticipated,6: Sports,,,,,,,
fifa world cup 2006,MSN_expl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,3: Anticipated,6: Sports,,,,,,,
final 4 college championship 2006,AOL_expl,20060401,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&cad=rja&ved=0CFQQFjAD&url=http%3A%2F%2Fsports.espn.go.com%2Fncb%2Fncaatourney06%2Fbracket&ei=bGbtUMSdH4_HtAbujIDYCw&usg=AFQjCNGNZBACQH4UmNuFztDAq016FF2uBQ&sig2=LZKcMNnMIcbHVe0aRXyafA&bvm=bv.1357316858,d.Yms",,,,,,
final destination 3,AOL_impl,20060210,1: Past event (before 01/03/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,past event,,,,,,
final fantasy,AOL_impl,20060316,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,3: Entertainment,,,,,,,
final fantasy 7,AOL_impl,20060316,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,3: Entertainment,,,,,,,
final fantasy vii,AOL_impl,20060316,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,3: Entertainment,,,,,,,
first monday canton texas,AOL_expl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,7: Holiday,,,,,,,
first monday canton texas,MSN_expl,20060301-20060331,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-month,2: Ongoing,7: Holiday,,,,,,,
fl lottery,MSN_impl,20060301-20060331,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,1: News,,,,,,,
fl lotto,MSN_impl,20060301-20060331,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,1: News,,,,,,,
fla lottery,MSN_impl,20060301-20060331,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,1: News,,,,,,,
flight 93,AOL_impl,20010911,1: Past event (before 01/05/2006),Recurrent,1-week,5: Commemorative,2: Fact,past event,,,,,,
flight 93 memorial,MSN_impl,20010911,1: Past event (before 01/05/2006),Non-recurrent,Planned,5: Commemorative,2: Fact,,,,,,,
florida football schedule 2006,AOL_expl,20060902-20070108,3: Future event (after 31/05/2006),Recurrent,1-week,3: Anticipated,5: Celebrity,3: Future event (after 31/05/2006),,,,,,
florida music festival 2006,AOL_expl,20060517-20060520,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
fourth of july,MSN_impl,20060704,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
franklin rossevelt reforms in 1935,AOL_expl,19350527,1: Past event (before 01/03/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
free april fools ecards,AOL_expl,20060401,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
french open,AOL_impl,20060528-20060611,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,,,,,,,
french open,MSN_impl,20060528-20060611,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,,,,,,,
french open 2006,AOL_expl,20060528-20060611,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,,,,,,,
french open 2006,MSN_expl,20060528-20060611,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,,,,,,,
french revolution,AOL_impl,17870714,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,5: Commemorative,4: Politics,,,,,,,
french revolution,MSN_impl,17870714,1: Past event (before 01/05/2006),,,5: Commemorative,4: Politics,,,,,,,
gale harold,AOL_impl,20060512,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,3: Entertainment,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&ved=0CEIQFjAC&url=http%3A%2F%2Fwww.justjared.com%2F2006%2F05%2F12%2Fvanished-fox%2F&ei=rGbtUIz6AYbJswaT6oGoAg&usg=AFQjCNHRHRMhSl47dq7MKS_CygeNV0-3ug&sig2=s7FNODt5bYKL50giWWVPEw&bvm=bv.1357316858,d.Yms",,,,,,
george bush,AOL_impl,20060508,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,http://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad%27s_letter_to_George_W._Bush,,,,,,
george lucas,MSN_impl,20060509,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,http://en.wikipedia.org/wiki/File:Time_100_George_Lucas.jpg,,,,,,
george w bush,AOL_impl,20060508,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
george w. bush,AOL_impl,20060508,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
german cannibal,MSN_impl,20060401-20060430,1: Past event (before 01/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
germany 2006,MSN_expl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,3: Anticipated,6: Sports,,,,,,,
geronimo remains,MSN_impl,20060509,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,http://www.commondreams.org/headlines06/0509-12.htm,,,,,,
golden globe 2006,AOL_expl,20060116,1: Past event (before 01/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,past event,,,,,,
golden globe awards 2006,AOL_expl,20060116,1: Past event (before 01/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
golden globes 2006,AOL_impl,20060116,1: Past event (before 01/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
golden globes 2006 tim mcgraw,AOL_expl,20060116,1: Past event (before 01/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
good friday sermons,AOL_expl,20060414,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,http://ssje.org/sermons/?p=543,,,,,,
good friday superstitions,AOL_expl,20060414,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
graduation,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation 2006,MSN_expl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation 2006,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation announcements,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation cap,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation cover,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation gifts,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation invitations,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation party ideas,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation party invitations,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation party themes,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation poems,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation quotes,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation songs,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
graduation speeches,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
grady brown killed may 4 2006,MSN_expl,20060504,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,8: Deaths,,,,,,,
greys anatomy,AOL_impl,20060301-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
grey's anatomy,AOL_impl,20060301-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
hairspray movie 2007,AOL_impl,20070720,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
halloween 9,AOL_impl,20070831,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
halloween horror nights 2006,AOL_expl,20061018,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,http://www.screamscape.com/features/html/hollywood_horror_nights_2006.html,,,,,,
halo,MSN_impl,20060425,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,3: Entertainment,,,,,,,
halo 2,AOL_impl,20060425,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,3: Entertainment,,,,,,,
halo 2 the game,AOL_impl,20060425,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,3: Entertainment,,,,,,,
halo 3,AOL_impl,20070926,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,20060509,http://www.bungie.net/News/content.aspx?cid=8143,,,,,
halo 3,MSN_impl,20070926,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,3: Future event (after 31/05/2006),,,,,,
halo 4,MSN_impl,20121106,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,3: Future event (after 31/05/2006),,,,,,
happy easter,AOL_impl,20060416,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,Planned,3: Anticipated,7: Holiday,,,,,,,
happy mothers day,AOL_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,Planned,3: Anticipated,7: Holiday,,,,,,,
harry potter,MSN_impl,20060307,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,3: Entertainment,Recency event,,,,,,
harry potter and the goblet of fire,AOL_impl,20060307,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
harry potter and the sorcerers stone,AOL_impl,20011104,1: Past event (before 01/05/2006),Non-recurrent,Planned,5: Commemorative,3: Entertainment,,,,,,,
harry potter book 7,AOL_impl,20070720,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
harry potter goblet of fire,AOL_impl,20060307,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
heather locklear,AOL_impl,20060426,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,"http://www.people.com/people/package/gallery/0,,20034523_1185920_1056753,00.html",,,,,,
helicopter crash,MSN_impl,20060421,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,http://www.smh.com.au/news/National/Three-dead-in-PNG-helicopter-crash/2006/04/21/1145344270864.html,,,,,,
high school musical,MSN_impl,20060120,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,http://www.imdb.com/title/tt0475293/,,,,past event,Non-recurrent,
hilary duff nude,AOL_impl,20060405,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,4: Meme,5: Celebrity,,,,,,,
hips don't lie,AOL_impl,20060327,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,3: Entertainment,,,,,,,
hips dont lie lyrics,AOL_impl,20060327,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,3: Entertainment,,,,,,,
historical events 1999,AOL_expl,19990101-19991231,1: Past event (before 01/03/2006),,,5: Commemorative,2: Fact,,,,,,,
history of march madness,AOL_expl,20060316-20060403,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
huntington's disease research 2006,AOL_expl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,2: Fact,,,,,,,
hurricane forecast,MSN_impl,20060522,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
hurricane forecast 2006,MSN_expl,20060522,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
hurricane katrina,AOL_impl,20050823-20050830,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
hurricane katrina,MSN_impl,20050823-20050830,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
hurricane katrina damage,AOL_impl,20050823-20050830,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
hurricane prediction 2006,MSN_expl,20060610-20061002,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
hurricane predictions 2006,MSN_expl,20060610-20061002,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,http://en.wikipedia.org/wiki/2006_Atlantic_hurricane_season,,,,,,
hurricane predictions for 2006,MSN_expl,20060610-20061002,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
hurricane season,MSN_impl,20060610-20061002,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
hydrogen conference 2006,AOL_expl,20061024-20061025,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,http://www.nwo.nl/nwohome.nsf/pages/NWOA_6RUFLA_Eng,,,,,,past event
ice age,AOL_impl,20060331,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,http://www.imdb.com/title/tt0438097/releaseinfo,,,,,,
ice age 2,AOL_impl,20060331,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
immigration bill,MSN_impl,20060526,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,2: Fact,http://edition.cnn.com/2006/POLITICS/05/25/immigration/index.html,,,,,,
immigration daily march 27 2006,AOL_expl,20060327,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,2: Fact,,,,,,,
indiana eleciton 2006,MSN_expl,20061107,3: Future event (after 31/05/2006),Recurrent,4-year,3: Anticipated,4: Politics,,,,,,,
indiana election results 2006,MSN_expl,20061107,3: Future event (after 31/05/2006),Recurrent,4-year,3: Anticipated,4: Politics,,,,,,,
irish marathons 2006,AOL_expl,20060422,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
j.j reddick,AOL_impl,20060310,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,6: Sports,,,,,,,
j.j. redick,AOL_impl,20060310,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,6: Sports,,,,,,,
jehovahs witness discussion,AOL_impl,20060418,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
jehovah's witnesses,AOL_impl,20060418,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
jennifer nettles interviews 2006,AOL_expl,20060319,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,Recency event,,,,,,
jennifer tilly,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,5: Celebrity,,,,,,,
jfk visits nashville in 1963,MSN_expl,19630518,1: Past event (before 01/05/2006),Non-recurrent,Planned,5: Commemorative,2: Fact,,,,,,,
jimi hendrix at woodstock,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,5: Celebrity,,,,,,,
jimi hendrix picture,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,5: Celebrity,,,,,,,
john and cyn lennon,AOL_impl,20051001,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,4: Meme,5: Celebrity,book release,,,,,,
john lennon loved cynthia lennon,AOL_impl,20051001,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,4: Meme,5: Celebrity,book release,,,,,,
jones beach,AOL_impl,20060503,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
jones beach theater,AOL_impl,20060503,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
july 4th celebration pier 39,AOL_expl,20060704,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
keith urban nicole april 2006,AOL_expl,20060413,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,,,,,,,
keith urban nicole kidman may 2006,AOL_expl,20060516,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,5: Celebrity,,,,,,,
kelly clarkson's 2006 grammy performance,AOL_expl,20060208,1: Past event (before 01/03/2006),Non-recurrent,Unplanned,4: Meme,3: Entertainment,,,,,,,
kentucky derby 2006,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
kentucky derby 2006 field,AOL_expl,20060506,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
kentucky derby contenders 2006,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
kentucky derby entries 2006,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
kentucky derby lineup 2006,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
kentucky derby winner 2006,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
kentucky miners,MSN_impl,20060520,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,http://www.justjared.com/2006/04/12/kenzie-dalton/,,,,,,
kenzie dalton,AOL_impl,20060412,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,,,,,,,
kimberly dozier,MSN_impl,20060529,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
king of fighters,AOL_impl,20060427,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
kingdom hearts,AOL_impl,20060328,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
kingdom hearts 2,AOL_impl,20060328,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
kingdomhearts,AOL_impl,20060328,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
kingdomhearts2,AOL_impl,20060328,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
labor day 2006,MSN_expl,20060904,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
lamborghini murcielago,AOL_impl,20060210,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,1: News,,,,,,,
latin billboard awards 2006,AOL_expl,20060427,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
leo gaje seminar in nyc 2006,AOL_expl,20060826-20060827,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,1: News,,,,,,,
